origin;b_area;d_dendrite;postion
m2;0.486072667;0.898;non_labeled
m2;1.2901175;0.742;non_labeled
m2;0.629976333;0.769;non_labeled
m2;0.431263333;0.902;non_labeled
m2;0.135791;0.729;non_labeled
m2;0.366640333;1.437;non_labeled
m2;0.353793333;1.134;non_labeled
m2;0.546259;1.009;non_labeled
m2;0.717579667;0.817;non_labeled
m2;0.259081667;0.632;non_labeled
m2;0.81862488;0.519058333;non_labeled
m2;0.08015976;0.303641;non_labeled
m2;0.9934488;0.342771333;non_labeled
m2;0.09;;non_labeled
m2;0.15087222;0.234127;non_labeled
m2;0.74561364;1.079124;non_labeled
m2;0.50767398;;non_labeled
m2;0.19842084;;non_labeled
m2;0.36338868;;non_labeled
m2;0.89256708;0.399908;non_labeled
m2;0.1620864;0.605768;non_labeled
m2;0.23881932;0.2930355;non_labeled
m2;0.34772814;0.240985;non_labeled
m2;0.2986551;0.19703;non_labeled
m2;0.49440132;0.341526;non_labeled
m2;0.2305314;;non_labeled
m2;0.33356232;0.415666;non_labeled
m2;0.15310944;0.454941;non_labeled
m2;0.8485452;0.741793667;non_labeled
m2;0.42867576;0.308339;non_labeled
m2;0.60442524;0.740033;non_labeled
m2;0.19409652;0.225613;non_labeled
m2;0.29972052;0.235325;non_labeled
m2;0.26448336;0.286818;non_labeled
m2;0.43132662;0.6823945;glyt2
m2;0.27194292;0.961163;glyt2
m2;1.33038396;0.972734;glyt2
m2;0.676782;1.012613;glyt2
m2;0.3372786;0.910895;glyt2
m2;0.727758;0.525625;glyt2
m2;0.952368629;0.736773667;glyt2
m2;0.10107504;0.203430333;glyt2
m2;0.54995112;0.472283333;glyt2
m2;0.2143206;0.782672;glyt2
unknown;1.43597148;;glyt2_cell
unknown;1.12857622;;glyt2_cell
unknown;1.65093186;;glyt2_cell
unknown;0.32810823;;glyt2_cell
unknown;1.31028359;;glyt2_cell
unknown;0.74399674;;glyt2_cell
unknown;1.35592605;;glyt2_cell
unknown;1.85847226;;glyt2_cell
unknown;0.59851311;;glyt2_cell
unknown;0.80840819;;glyt2_cell
unknown;2.91394388;;glyt2_cell
unknown;0.50505148;;glyt2_cell
unknown;0.6464418;;glyt2_cell
unknown;0.32845048;;glyt2_cell
unknown;0.32794395;;glyt2_cell
unknown;0.58107205;;glyt2_cell
unknown;0.25400426;;glyt2_cell
unknown;0.84140109;;glyt2_cell
unknown;0.32338518;;glyt2_cell
unknown;0.4977684;;glyt2_cell
unknown;0.67780559;;glyt2_cell
unknown;1.18669027;;glyt2_cell
unknown;0.99609809;;glyt2_cell
unknown;0.50016415;;glyt2_cell
unknown;0.42376026;;glyt2_cell
unknown;0.38173196;;glyt2_cell
unknown;1.00863813;;glyt2_cell
unknown;0.16575852;;glyt2_cell
unknown;0.78698334;;glyt2_cell
unknown;1.61743243;;glyt2_cell
unknown;0.5511594;;glyt2_cell
unknown;0.49179956;;glyt2_cell
unknown;0.46254403;;glyt2_cell
unknown;0.69041408;;glyt2_cell
unknown;0.80712133;;glyt2_cell
unknown;0.27605885;;glyt2_cell
unknown;0.57548653;;glyt2_cell
unknown;0.84956033;;glyt2_cell
unknown;1.52913193;;glyt2_cell
unknown;1.24180621;;glyt2_cell
unknown;0.41153509;;glyt2_cell
unknown;0.97630235;;glyt2_cell
unknown;0.2120581;;glyt2_cell
unknown;1.2472959;;glyt2_cell
unknown;1.87138193;;glyt2_cell
unknown;0.47413946;;glyt2_cell
unknown;1.06452841;;glyt2_prox
unknown;0.849157459;;glyt2_prox
unknown;0.290055643;;glyt2_prox
unknown;1.04930252;;glyt2_prox
unknown;0.9527356;;glyt2_prox
unknown;0.758075172;;glyt2_prox
unknown;0.461688454;;glyt2_prox
unknown;0.572163155;;glyt2_prox
unknown;0.523215392;;glyt2_prox
unknown;1.162784943;;glyt2_prox
unknown;0.580245696;;glyt2_prox
unknown;0.496093725;;glyt2_prox
unknown;0.597428505;;glyt2_prox
unknown;0.793695088;;glyt2_prox
unknown;0.58067591;;glyt2_prox
unknown;0.41244786;;glyt2_prox
unknown;0.622038174;;glyt2_prox
unknown;0.703389424;;glyt2_prox
unknown;0.409817925;;glyt2_prox
unknown;0.860392977;;glyt2_prox
unknown;0.435512752;;glyt2_prox
unknown;0.541991843;;glyt2_prox
unknown;0.399867632;;glyt2_prox
unknown;0.179156835;;glyt2_prox
unknown;0.207141659;;glyt2_prox
unknown;0.781467471;;glyt2_prox
unknown;0.222335763;;glyt2_prox
unknown;0.258056428;;glyt2_prox
unknown;0.087233027;;glyt2_prox
unknown;0.447778344;;glyt2_prox
unknown;1.47244779;;glyt2_prox
unknown;0.42693519;;glyt2_prox
unknown;0.36924723;;glyt2_prox
unknown;0.4428963;;glyt2_prox
unknown;1.90185864;;glyt2_prox
unknown;1.02996168;;glyt2_prox
unknown;0.36824898;;glyt2_prox
unknown;0.45136509;;glyt2_prox
unknown;0.794920039;;glyt2_prox
unknown;1.165769889;;glyt2_prox
unknown;0.419636663;;glyt2_prox
unknown;0.891154076;;glyt2_prox
unknown;0.353469967;;glyt2_prox
unknown;0.35948395;;glyt2_prox
unknown;0.682474395;;glyt2_prox
unknown;0.54740763;;glyt2_prox
unknown;0.36214332;;glyt2_prox
unknown;0.97535922;;glyt2_prox
unknown;1.07213502;;glyt2_prox
unknown;0.30298884;;glyt2_prox
unknown;0.37773417;;glyt2_prox
unknown;1.5243822;;glyt2_prox
unknown;0.37249245;;glyt2_prox
unknown;0.34201134;;glyt2_prox
unknown;0.43449285;;glyt2_prox
unknown;0.59539623;;glyt2_prox
unknown;0.74678868;;glyt2_prox
unknown;0.39930948;;glyt2_prox
unknown;0.49942116;;glyt2_prox
unknown;0.1382454;;glyt2_prox
unknown;0.12450024;;glyt2_prox
unknown;0.34056504;;glyt2_prox
unknown;0.32608818;;glyt2_prox
unknown;0.58160916;;glyt2_prox
unknown;0.98278983;;glyt2_prox
unknown;0.97081809;;glyt2_prox
unknown;0.50376051;;glyt2_prox
unknown;0.58988589;;glyt2_prox
unknown;0.27749535;;glyt2_prox
unknown;0.81861219;;glyt2_prox
unknown;0.49510659;;glyt2_prox
unknown;0.8102886;;glyt2_prox
unknown;0.58467684;;glyt2_prox
unknown;0.623045575;;glyt2_prox
unknown;0.291801199;;glyt2_prox
unknown;0.720596016;;glyt2_prox
unknown;0.785123004;;glyt2_prox
unknown;1.113428328;;glyt2_prox
unknown;2.717469015;;glyt2_prox
unknown;0.577971149;;glyt2_prox
unknown;0.368063943;;glyt2_prox
unknown;0.764326659;;glyt2_prox
unknown;1.268312707;;glyt2_prox
unknown;1.42954119;;glyt2_prox
unknown;0.554541741;;glyt2_prox
unknown;0.393409309;;glyt2_prox
unknown;0.208225294;;glyt2_prox
unknown;0.443565091;;glyt2_prox
unknown;0.755691367;;glyt2_prox
unknown;0.539038593;;glyt2_prox
unknown;0.76466313;;glyt2_prox
unknown;0.586436144;;glyt2_prox
unknown;0.832933462;;glyt2_prox
unknown;0.442984159;;glyt2_prox
unknown;1.463524461;;glyt2_prox
unknown;0.52995885;;glyt2_prox
unknown;0.820703537;;glyt2_prox
unknown;0.539219038;;glyt2_prox
unknown;1.32567233;;glyt2_prox
unknown;0.56517588;;glyt2_prox
unknown;0.77310828;;glyt2_prox
unknown;0.38589588;;glyt2_prox
unknown;0.45654948;;glyt2_prox
unknown;0.415692603;;glyt2_prox
unknown;1.017145029;;glyt2_prox
unknown;0.458685692;;glyt2_prox
unknown;1.290750997;;glyt2_prox
