file_name,No_ch,No_AP_unit,No_AP_unit2,No_Stim,samp_rate_lfp,samp_rate_unit,rec_length,No_Trains,train_length_equal,train_length,train_starts,train_ends
cell01_02_t1_3002_tonic_stim,4,10249,No second unit was detected,4000,2e4,2e4,579.48225,4,TRUE,33.299499999999995,"13.7018275, 173.7388275, 337.9746775, 519.6459275","47.0013275, 207.0383275, 371.2742275, 552.9454275"
cell02_05_t2_3619_tail_pinch_laser_ALL_for_popPSTH,3,4444,No second unit was detected,8000,No LFP channel was found,2e4,Cannot be calculated,8,FALSE,33.21051062499999,"80.0352975, 195.2246475, 290.6042975, 460.9340475, 581.6869475, 623.085565, 658.4248925, 708.5387","113.0682475, 228.2575975, 323.6372475, 493.9669975, 614.7198975, 656.6084025, 691.9765675, 741.9835225"
cell03_06_t2_3180_pinch_stim2,4,569,No second unit was detected,6000,2e4,2e4,738.94235,6,TRUE,33.299499999999995,"69.4982475, 186.4068475, 311.8682475, 374.1664975, 447.8816975, 619.6007475","102.7977475, 219.7063475, 345.1677975, 407.4660475, 481.1812475, 652.9002975"
cell04_12_t1_3129_continuous_pinch_laser_ch5-cell1,4,535,No second unit was detected,1500,2e4,2e4,558.0505,3,TRUE,16.46840000000003,"292.0916775, 397.7231775, 493.3773775","308.5600775, 414.1915775, 509.8457775"
cell05_12_t1_3129_continuous_pinch_laser_ch6-cell2,4,633,No second unit was detected,1500,2e4,2e4,293.33425,3,TRUE,16.468400000000003,"27.375435, 133.006935, 228.661135","43.843835, 149.475335, 245.129535"
cell06_05_t1_3001_laser_control,4,2676,No second unit was detected,2000,2e4,2e4,208.6188,4,TRUE,16.46845,"13.8963275, 73.4454275, 129.2605275, 177.2126775","30.3647775, 89.9138775, 145.7289775, 193.6811275"
cell07_10_t1_3275_lasercontrol,4,70,No second unit was detected,1500,2e4,2e4,142.6362,3,TRUE,16.468449999999997,"18.61897, 68.84052, 112.8637275","35.08742, 85.30897, 129.33217"
cell08_11_t1_3413_csipes_lezer,5,5086,No second unit was detected,3000,2e4,2e4,464.7969,6,TRUE,16.4024,"24.5328775, 67.1014275, 137.3875775, 220.8900775, 381.4267775, 430.1587275","40.9352775, 83.5038275, 153.7899775, 237.2924775, 397.8291775, 446.5611275"
cell09_gv126_09_t2_3155_lezer_kontrol,4,107,No second unit was detected,1500,2e4,2e4,137.2739,3,TRUE,16.468399999999995,"23.69947, 76.10547, 110.1911325","40.16787, 92.57387, 126.65957"
cell10_01_right_IL_t1_3541_baseline,4,1016,No second unit was detected,900,2e4,2e4,202.0626,9,TRUE,3.2673000000000005,"10.950825, 30.075575, 96.737675, 104.800175, 128.978575, 146.248825, 151.652375, 163.734125, 179.724725","14.218125, 33.342825, 100.004925, 108.067425, 132.245825, 149.516125, 154.919625, 167.001375, 182.991975"
cell11_05_right_IL_t1_2890_pinch_stim_int10,4,1042,No second unit was detected,750,2e4,2e4,111.9844,5,TRUE,4.917399999999997,"24.59406, 36.35081, 52.62136, 67.15236, 84.29766","29.51146, 41.26816, 57.53876, 72.06976, 89.21506"
cell12_07_right_IL_t1_3586_pinch_stim_int10_ch4-cell1,4,822,No second unit was detected,450,2e4,2e4,52.7641,3,TRUE,4.917400000000001,"20.652825, 33.319325, 46.040925","25.570225, 38.236775, 50.958325"
cell13_07_right_IL_t1_3586_pinch_stim_int10_ch6-cell2,4,317,No second unit was detected,450,2e4,2e4,52.7641,3,TRUE,4.917400000000001,"20.652825, 33.319325, 46.040925","25.570225, 38.236775, 50.958325"
cell14_13_right_IL_t2_3010_pinch_stim,4,246,No second unit was detected,300,2e4,2e4,55.30715,2,TRUE,4.917482499999998,"19.197505, 32.3594075","24.1149875, 37.2774375"
cell15_07_right_IL_t1_3270_pinch_stim,4,696,No second unit was detected,1600,2e4,2e4,293.5027,10,FALSE,5.247429999999997,"13.994875, 29.135625, 48.965175, 58.002675, 77.937175, 89.299075, 193.220575, 215.064575, 241.157375, 258.197675","18.912275, 34.053025, 55.532725, 64.570225, 82.854575, 94.216475, 198.137975, 219.981975, 246.074775, 263.115075"
cell16_13_right_IL_t2_3056_pinch_stim-int10_ch7-cell1,4,984,No second unit was detected,1600,2e4,2e4,122.2839,8,TRUE,6.567549999999999,"7.696625, 28.850925, 46.216125, 55.223675, 69.704775, 82.931275, 94.857975, 104.745325","14.264175, 35.418475, 52.783675, 61.791225, 76.272325, 89.498825, 101.425525, 111.312875"
cell17_13_right_IL_t2_3056_pinch_stim-int10_ch6-cell2,4,684,No second unit was detected,1600,2e4,2e4,122.2839,8,TRUE,6.567549999999999,"7.696625, 28.850925, 46.216125, 55.223675, 69.704775, 82.931275, 94.857975, 104.745325","14.264175, 35.418475, 52.783675, 61.791225, 76.272325, 89.498825, 101.425525, 111.312875"
cell18_18_right_IL_t3_2992_stim_int10,5,246,No second unit was detected,1200,2e4,2e4,137.4977,6,TRUE,6.567549999999999,"2.210125, 15.3515425, 31.962075, 51.986725, 74.375625, 116.199325","8.777675, 21.919125, 38.529625, 58.554275, 80.943175, 122.766925"
cell19_04_right_IL_t1_2874_stim_control,4,881,No second unit was detected,900,2e4,2e4,127.866,6,TRUE,4.9174,"2.761575, 18.722525, 39.256675, 56.302175, 83.969725, 114.021625","7.678975, 23.639975, 44.174125, 61.219575, 88.887175, 118.939025"
cell20_06_right_IL_t1_2964_stim_control_I-10,4,677,No second unit was detected,900,2e4,2e4,200.7551,6,TRUE,4.91745,"5.409475, 51.147125, 99.314225, 133.350025, 161.092575, 183.561575","10.326925, 56.064575, 104.231675, 138.267425, 166.010025, 188.478975"
cell21_13_right_IL_t3_3030_stim_control,5,40,458,450,2e4,2e4,76.9976,3,TRUE,4.917399999999999,"9.872775, 33.996275, 52.896275","14.790175, 38.913675, 57.813675"
cell22_15_right_IL_t3_3030_pinch_laser,4,335,No second unit was detected,600,2e4,2e4,135.942,4,TRUE,4.917399999999999,"9.466175, 46.546175, 100.616625, 118.846825","14.383575, 51.463625, 105.534075, 123.764225"
cell23_02_right_IL_t1_2933_stim_control,4,864,No second unit was detected,1350,2e4,2e4,315.896,9,TRUE,4.9174,"4.626125, 42.930325, 77.410825, 103.293775, 135.025125, 175.5889875, 213.153725, 261.630475, 284.049325","9.543525, 47.847725, 82.328225, 108.211175, 139.942525, 180.506375, 218.071125, 266.547875, 288.966725"
cell24_10_right_IL_t2_3207_stim_control,4,125,No second unit was detected,750,2e4,2e4,96.3788,5,TRUE,4.91745,"4.6278675, 22.1381675, 42.3127175, 65.7364175, 81.6272175","9.5453175, 27.0555675, 47.2301175, 70.6538175, 86.5446175"
cell25_05_t1_2727_laser_control,4,10341,No second unit was detected,4000,2e4,2e4,262.3123,4,TRUE,32.96955,"12.88012, 82.71082, 157.71997, 217.62332","45.84967, 115.68037, 190.68952, 250.59292"
cell26_02_t1_3103_baseline_lezer,4,174,No second unit was detected,1000,2e4,2e4,63.9314,2,TRUE,16.4684,"4.82387, 34.77582","21.29227, 51.24422"
cell27_15_right_IL_t3_3031_stim_control,4,2352,No second unit was detected,1500,2e4,2e4,146.8094,10,TRUE,4.917449999999999,"1.9290675, 18.9145675, 48.2616675, 59.3837675, 68.3813175, 80.7879175, 91.3751175, 105.9712175, 118.0779675, 136.922925","6.8465175, 23.8319675, 53.1791175, 64.3011675, 73.2987175, 85.7053675, 96.2925675, 110.8886675, 122.9954175, 141.8403675"
cell28_24_right_IL_t4_3383_lateral_control_stim_control,4,187,No second unit was detected,1200,2e4,2e4,111.3138,6,TRUE,6.567549999999999,"2.3742675, 13.6762175, 29.9118175, 51.7359175, 71.5256175, 94.9743175","8.9418175, 20.2437675, 36.4793675, 58.3034925, 78.0931675, 101.5419175"
cell29_02_t1_2908_vpm_pinch_stim,4,3958,No second unit was detected,4000,2e4,2e4,386.7957,2,TRUE,66.63199999999999,"12.32449, 314.64689","78.95649, 381.27899"
